track_name,date,bias_type,horse_name,pp,fin,odds,odds_rank,comment
Delaware Park,2025-07-04,inside,Sweet and Feisty,7,5.0,107.0,10.0,"bobl, ins, improved"
Delaware Park,2025-07-04,inside,Sir Banana Brian,4,3.0,6.7,5.0,"stmbl, adv3w, no close"
Delaware Park,2025-07-04,inside,White Series,4,2.0,10.5,5.0,"3p, bid, no match"
Delaware Park,2025-07-04,inside,Fiveclocksomewhere,4,1.0,3.4,3.0,"2p, led 5/8, kick clr"
Ellis Park,2025-07-12,inside,Midnight Boss,8,3.0,16.6,8.0,"4-3w,ranon btw,mss plC"
Ellis Park,2025-07-12,inside,Purse Thief,4,4.0,9.02,6.0,"hustld,chasd 3p,mildly"
Ellis Park,2025-07-12,inside,Ludwig,7,1.0,3.17,3.0,"led 2w,btw,dueld,game"
Ellis Park,2025-07-12,inside,Storm the Streets,6,2.0,7.15,4.0,"4w,bid 5/16,dueld,miss"
Ellis Park,2025-07-12,inside,Last Curtain Call,5,3.0,11.65,6.0,"beat slw,6p3/16,willng"
Ellis Park,2025-07-12,inside,Go Go Playmate,8,4.0,13.15,8.0,"track 5w,took aim,tire"
Ellis Park,2025-07-12,inside,Cup of Coffee,4,7.0,24.94,9.0,"lean in st,4p,improved"
Ellis Park,2025-07-12,inside,Wonder of You,5,1.0,6.37,5.0,"press 2w,drove clear"
Ellis Park,2025-07-12,inside,Carolina Smokeshow,7,2.0,3.83,4.0,"off slow,6-8p1/8,rally"
Ellis Park,2025-07-12,inside,Indescribable,6,3.0,20.19,7.0,"3w-4p,up plc,chsd,cght"
Ellis Park,2025-07-12,inside,Many Mo Kisses,8,3.0,17.15,8.0,"gain 4w-ins,bid,outtck"
Ellis Park,2025-07-12,inside,Cocktail Humor,4,3.0,9.69,7.0,"ins foe,cleard,wkn btw"
Ellis Park,2025-07-12,inside,Sr. Mary Margaret,10,1.0,23.32,9.0,"ins,shuffled/steady3/8"
Ellis Park,2025-07-12,inside,Bullet Baby,6,1.0,26.0,10.0,"chased 4p,wknd 5-6p1/4"
Ellis Park,2025-07-14,inside,Good Bali,5,2.0,10.51,6.0,"5wd1/4,lng drv,gave in"
Ellis Park,2025-07-14,inside,Hylla,4,3.0,5.53,5.0,"track 3w, 3p upr, wknd"
Ellis Park,2025-07-14,inside,Miacomet,4,2.0,5.39,4.0,"4p upr, rally, gaining"
Emerald Downs,2025-07-12,inside,Bewitching Joy,7,2.0,7.98,5.0,"6-w, full of run"
Emerald Downs,2025-07-12,inside,Roper,5,1.0,4.6,3.0,"3,5-w, just up"
Emerald Downs,2025-07-12,inside,K R Rules,7,3.0,19.24,8.0,"6-w, finished fast"
Emerald Downs,2025-07-12,inside,Big Bowie,5,2.0,26.43,6.0,"3-w, closed strongly"
Emerald Downs,2025-07-12,inside,Riverside Rose,8,4.0,12.12,6.0,"2-w, no factor"
Emerald Downs,2025-07-12,inside,Deux Meres,6,2.0,18.72,7.0,"bump, 2-w, rallied"
Emerald Downs,2025-07-12,inside,Big Catty,5,3.0,10.73,5.0,"bump, 3-w, gaining"
Emerald Downs,2025-07-12,inside,Cantputapriceonfun,6,2.0,6.0,4.0,"dueled 2-w, gamely"
Emerald Downs,2025-07-12,inside,Peg's Choice,7,3.0,11.02,6.0,"4-w, late rally"
Emerald Downs,2025-07-12,inside,La' Momina,5,6.0,75.49,11.0,"2,4-w, evenly"
Evangeline Downs,2025-07-11,inside,Sweet Aurora G,8,3.0,12.9,6.0,"outside trip, up show"
Evangeline Downs,2025-07-11,inside,Drilling Report,6,1.0,20.5,5.0,"inched clear, driving"
Evangeline Downs,2025-07-11,inside,Platinumus Maximus,6,1.0,4.2,3.0,wore down rival
Evangeline Downs,2025-07-11,inside,Jazzy Gal,7,3.0,8.3,5.0,"outside trip, up show"
Evangeline Downs,2025-07-11,inside,Mucho Marvin,8,4.0,77.8,10.0,in tight upper stretch
Evangeline Downs,2025-07-11,inside,Black Candy,5,5.0,20.3,7.0,improved position
Evangeline Downs,2025-07-11,inside,Allstarhollywood,7,6.0,54.1,9.0,"angled in, no response"
Evangeline Downs,2025-07-11,inside,The Rain Is Gone,7,2.0,5.2,4.0,"steady urging, up 2nd"
Evangeline Downs,2025-07-11,inside,Dreamchaser Jewels,8,4.0,35.8,7.0,"bid off rail, empty"
Evangeline Downs,2025-07-11,inside,Meg's Ladybug,6,6.0,111.0,9.0,passed tiring rivals
Evangeline Downs,2025-07-11,inside,Higher Charge,5,4.0,15.9,6.0,"6w into lane, mild bid"
Fairmount Park,2025-07-01,inside,Dragging Main,4,4.0,30.5,6.0,"brk out bmp, 2p, no bid"
Fairmount Park,2025-07-01,inside,Span,5,2.0,4.8,4.0,"4p5/16,fan9p str,rally"
Fairmount Park,2025-07-01,inside,Lemon Drop Shot,9,1.0,3.9,3.0,"4-3p,bid1/4,drew clear"
Fairmount Park,2025-07-01,inside,Granddaddylonglegs,5,3.0,11.4,7.0,"ins,lost ld5/16,4p str"
Fairmount Park,2025-07-01,inside,Highly Perfect,4,4.0,21.6,8.0,"chase ins-3p,faded str"
Fairmount Park,2025-07-01,inside,Crepe Yarns,6,6.0,31.4,9.0,"stalk3-4p,wknd fnl1/8"
Fairmount Park,2025-07-01,inside,Argybargy Buck,5,2.0,33.8,5.0,"bid3p3/8,6p lane, 1 pace"
Fairmount Park,2025-07-01,inside,I'm Your Valentine,6,4.0,41.0,6.0,"3p,swung7p lane,no bid"
Fairmount Park,2025-07-15,inside,Lution,5,2.0,39.6,6.0,"bid3p5/16,7p stretch"
Finger Lakes,2025-07-01,inside,Turnupthemusic,4,1.0,6.9,5.0,"4wbid3/8,4acrs1/8"
Finger Lakes,2025-07-01,inside,La Indecente,5,5.0,11.7,7.0,"3p5/16,tired"
Finger Lakes,2025-07-01,inside,Je T'adore,6,2.0,17.6,5.0,"dkd out,bobbld st"
Finger Lakes,2025-07-01,inside,Smooth Tales,7,2.0,11.4,4.0,"2p trn, held place"
Finger Lakes,2025-07-01,inside,Buck Wild,4,5.0,52.75,7.0,no threat inside
Finger Lakes,2025-07-01,inside,Mia Nipotina,5,2.0,6.8,6.0,"rail bid,hung"
Finger Lakes,2025-07-01,inside,Our First Lady,7,4.0,31.25,7.0,"5w1/2,4w1/4,w str"
Finger Lakes,2025-07-01,inside,Outta the Cloud,6,4.0,55.5,9.0,"3p1/2,tired"
Finger Lakes,2025-07-01,inside,Only La Duss,7,3.0,30.25,9.0,no threat inside
Finger Lakes,2025-07-01,inside,Frisbee Bee,4,6.0,18.8,8.0,"3p turn,tired"
Finger Lakes,2025-07-01,inside,Airam Karliany,10,8.0,92.75,10.0,"hrd to load,6w1/4w str"
Finger Lakes,2025-07-01,inside,Signifying Nothing,5,2.0,15.9,5.0,"4w1/2,3p trn,2n best"
Finger Lakes,2025-07-01,inside,Sox for Daughters,8,2.0,8.6,6.0,"rail5/16,finished well"
Finger Lakes,2025-07-01,inside,Take the Edge,7,6.0,92.25,8.0,"2p trns,tired"
Finger Lakes,2025-07-09,inside,Light Thoughts,5,1.0,6.1,5.0,"3p bid 5/16, drew clear"
Finger Lakes,2025-07-09,inside,Interchanger,4,2.0,15.3,6.0,"slgsh st,2p trn,2n bst"
Finger Lakes,2025-07-09,inside,Rockible,8,4.0,25.75,7.0,"btw3deep1/2,4w1/4"
Finger Lakes,2025-07-09,inside,You Beaut,10,6.0,32.75,8.0,"5w1/2,4w trn,wkn"
Finger Lakes,2025-07-09,inside,Not Today Governor,8,5.0,15.2,7.0,"slgsh st,4w1/4"
Finger Lakes,2025-07-09,inside,Saratoga Kisses,4,3.0,20.1,5.0,"2p trn, finished well"
Finger Lakes,2025-07-14,inside,Gold Templar,5,1.0,7.0,3.0,"3acrs,hld on stubbrnly"
Finger Lakes,2025-07-14,inside,Redwineandwhiskey,7,1.0,7.4,5.0,"3p5/16,driving"
Finger Lakes,2025-07-14,inside,Coach Bahe,5,1.0,3.1,3.0,btwn1/2to1/8hand ride
